Transaction ID,Date,Month,Day,Year,Customer ID,Gender,Age,Age Group,Product Category,Quantity,Price per Unit,Total Amount,5% discounted price,,
1,11/24/2023,Nov,Fri,2023,CUST001,Male,34,Adult,Beauty,3,50,150,2.5,,
2,2/27/2023,Feb,Mon,2023,CUST002,Female,26,Adult,Clothing,2,500,1000,25,,
3,1/13/2023,Jan,Fri,2023,CUST003,Male,50,Older Adults,Electronics,1,30,30,1.5,STATISTICS,
4,5/21/2023,May,Sun,2023,CUST004,Male,37,Adult,Clothing,1,500,500,25,AVERAGE,456
5,5/6/2023,May,Sat,2023,CUST005,Male,30,Adult,Beauty,2,50,100,2.5,STD,559.9976316
6,4/25/2023,Apr,Tue,2023,CUST006,Female,45,Adult,Beauty,1,30,30,1.5,mode,50
7,3/13/2023,Mar,Mon,2023,CUST007,Male,46,Adult,Clothing,2,25,50,1.25,MEDIUM,135
8,2/22/2023,Feb,Wed,2023,CUST008,Male,30,Adult,Electronics,4,25,100,1.25,FREQUENCY,115
9,12/13/2023,Dec,Wed,2023,CUST009,Male,63,Older Adults,Electronics,2,300,600,15,,
10,10/7/2023,Oct,Sat,2023,CUST010,Female,52,Older Adults,Clothing,4,50,200,2.5,,
11,2/14/2023,Feb,Tue,2023,CUST011,Male,23,Adolescents,Clothing,2,50,100,2.5,,
12,10/30/2023,Oct,Mon,2023,CUST012,Male,35,Adult,Beauty,3,25,75,1.25,,
13,8/5/2023,Aug,Sat,2023,CUST013,Male,22,Adolescents,Electronics,3,500,1500,25,,
14,1/17/2023,Jan,Tue,2023,CUST014,Male,64,Older Adults,Clothing,4,30,120,1.5,,
15,1/16/2023,Jan,Mon,2023,CUST015,Female,42,Adult,Electronics,4,500,2000,25,,
16,2/17/2023,Feb,Fri,2023,CUST016,Male,19,Adolescents,Clothing,3,500,1500,25,,
17,4/22/2023,Apr,Sat,2023,CUST017,Female,27,Adult,Clothing,4,25,100,1.25,,
18,4/30/2023,Apr,Sun,2023,CUST018,Female,47,Adult,Electronics,2,25,50,1.25,,
19,9/16/2023,Sep,Sat,2023,CUST019,Female,62,Older Adults,Clothing,2,25,50,1.25,,
20,11/5/2023,Nov,Sun,2023,CUST020,Male,22,Adolescents,Clothing,3,300,900,15,,
21,1/14/2023,Jan,Sat,2023,CUST021,Female,50,Older Adults,Beauty,1,500,500,25,,
22,10/15/2023,Oct,Sun,2023,CUST022,Male,18,Adolescents,Clothing,2,50,100,2.5,,
